bundle_id,replicate,variant,review_duration,policy,tick,eligible,selected,greedy_choice,search_choice,planning_seconds,ordered_subsets_evaluated
stage6_00,0,reference,2,no_review,0,1,,train:313,train:313,2.247991506010294e-05,0
stage6_00,0,reference,2,no_review,1,1,,train:153,train:153,2.340390346944332e-05,0
stage6_00,0,reference,2,no_review,2,1,,train:153,train:153,3.150699194520712e-05,0
stage6_00,0,reference,2,no_review,3,1,,train:153,train:153,1.297390554100275e-05,0
stage6_00,0,reference,2,no_review,4,1,,train:153,train:153,1.2912089005112648e-05,0
stage6_00,0,reference,2,no_review,5,0,,,,1.3289973139762878e-05,0
stage6_00,0,reference,2,no_review,6,0,,,,4.489906132221222e-06,0
stage6_00,0,reference,2,fcfs,0,1,train:313,train:313,train:313,1.991202589124441e-05,0
stage6_00,0,reference,2,fcfs,2,1,train:153,train:153,train:153,3.942695911973715e-05,0
stage6_00,0,reference,2,fcfs,4,0,,,,4.439032636582851e-06,0
stage6_00,0,reference,2,fcfs,5,0,,,,8.950009942054749e-07,0
stage6_00,0,reference,2,fcfs,6,0,,,,6.990740075707436e-07,0
stage6_00,0,reference,2,edf,0,1,train:313,train:313,train:313,2.2490043193101883e-05,0
stage6_00,0,reference,2,edf,2,1,train:153,train:153,train:153,3.9619975723326206e-05,0
stage6_00,0,reference,2,edf,4,0,,,,2.2780150175094604e-06,0
stage6_00,0,reference,2,edf,5,0,,,,7.809139788150787e-07,0
stage6_00,0,reference,2,edf,6,0,,,,7.139751687645912e-07,0
stage6_00,0,reference,2,uncertainty,0,1,train:313,train:313,train:313,2.2346037440001965e-05,0
stage6_00,0,reference,2,uncertainty,2,1,train:153,train:153,train:153,2.2399937734007835e-05,0
stage6_00,0,reference,2,uncertainty,4,0,,,,2.9830262064933777e-06,0
stage6_00,0,reference,2,uncertainty,5,0,,,,8.060596883296967e-07,0
stage6_00,0,reference,2,uncertainty,6,0,,,,7.069902494549751e-07,0
stage6_00,0,reference,2,greedy,0,1,train:313,train:313,train:313,2.4770968593657017e-05,0
stage6_00,0,reference,2,greedy,2,1,train:153,train:153,train:153,3.641308285295963e-05,0
stage6_00,0,reference,2,greedy,4,0,,,,3.1370436772704124e-06,0
stage6_00,0,reference,2,greedy,5,0,,,,8.030328899621964e-07,0
stage6_00,0,reference,2,greedy,6,0,,,,7.060589268803596e-07,0
stage6_00,0,reference,2,search,0,1,train:313,train:313,train:313,2.2780033759772778e-05,2
stage6_00,0,reference,2,search,2,1,train:153,train:153,train:153,3.899703733623028e-05,2
stage6_00,0,reference,2,search,4,0,,,,1.961016096174717e-06,0
stage6_00,0,reference,2,search,5,0,,,,8.309725672006607e-07,0
stage6_00,0,reference,2,search,6,0,,,,7.08969309926033e-07,0
stage6_00,0,reference,1,no_review,0,1,,train:313,train:313,1.9600032828748226e-05,0
stage6_00,0,reference,1,no_review,1,2,,train:153,train:313,2.2641965188086033e-05,0
stage6_00,0,reference,1,no_review,2,1,,train:153,train:153,3.3325981348752975e-05,0
stage6_00,0,reference,1,no_review,3,1,,train:153,train:153,1.1803931556642056e-05,0
stage6_00,0,reference,1,no_review,4,1,,train:153,train:153,1.1509982869029045e-05,0
stage6_00,0,reference,1,no_review,5,1,,train:153,train:153,1.1533964425325394e-05,0
stage6_00,0,reference,1,no_review,6,0,,,,2.6730122044682503e-06,0
stage6_00,0,reference,1,fcfs,0,1,train:313,train:313,train:313,1.930294092744589e-05,0
stage6_00,0,reference,1,fcfs,1,1,train:153,train:153,train:153,2.0553008653223515e-05,0
stage6_00,0,reference,1,fcfs,2,0,,,,2.1567917428910732e-05,0
stage6_00,0,reference,1,fcfs,3,0,,,,8.349306881427765e-07,0
stage6_00,0,reference,1,fcfs,4,0,,,,6.919726729393005e-07,0
stage6_00,0,reference,1,fcfs,5,0,,,,6.759073585271835e-07,0
stage6_00,0,reference,1,fcfs,6,0,,,,6.799818947911263e-07,0
stage6_00,0,reference,1,edf,0,1,train:313,train:313,train:313,2.2002961486577988e-05,0
stage6_00,0,reference,1,edf,1,1,train:153,train:153,train:153,1.92329753190279e-05,0
stage6_00,0,reference,1,edf,2,0,,,,3.174995072185993e-06,0
stage6_00,0,reference,1,edf,3,0,,,,8.139759302139282e-07,0
stage6_00,0,reference,1,edf,4,0,,,,6.980262696743011e-07,0
stage6_00,0,reference,1,edf,5,0,,,,6.740447133779526e-07,0
stage6_00,0,reference,1,edf,6,0,,,,6.92903995513916e-07,0
stage6_00,0,reference,1,uncertainty,0,1,train:313,train:313,train:313,2.1094107069075108e-05,0
stage6_00,0,reference,1,uncertainty,1,1,train:153,train:153,train:153,2.3194937966763973e-05,0
stage6_00,0,reference,1,uncertainty,2,0,,,,2.7690548449754715e-06,0
stage6_00,0,reference,1,uncertainty,3,0,,,,8.050119504332542e-07,0
stage6_00,0,reference,1,uncertainty,4,0,,,,7.309718057513237e-07,0
stage6_00,0,reference,1,uncertainty,5,0,,,,7.180497050285339e-07,0
stage6_00,0,reference,1,uncertainty,6,0,,,,7.199123501777649e-07,0
stage6_00,0,reference,1,greedy,0,1,train:313,train:313,train:313,2.3205997422337532e-05,0
stage6_00,0,reference,1,greedy,1,1,train:153,train:153,train:153,2.429005689918995e-05,0
stage6_00,0,reference,1,greedy,2,0,,,,3.6369310691952705e-06,0
stage6_00,0,reference,1,greedy,3,0,,,,8.119968697428703e-07,0
stage6_00,0,reference,1,greedy,4,0,,,,7.17933289706707e-07,0
stage6_00,0,reference,1,greedy,5,0,,,,6.830086931586266e-07,0
stage6_00,0,reference,1,greedy,6,0,,,,6.749760359525681e-07,0
stage6_00,0,reference,1,search,0,1,train:313,train:313,train:313,2.58920481428504e-05,2
stage6_00,0,reference,1,search,1,1,train:153,train:153,train:153,2.7421978302299976e-05,2
stage6_00,0,reference,1,search,2,0,,,,7.695052772760391e-06,0
stage6_00,0,reference,1,search,3,0,,,,8.200295269489288e-07,0
stage6_00,0,reference,1,search,4,0,,,,6.830086931586266e-07,0
stage6_00,0,reference,1,search,5,0,,,,6.860354915261269e-07,0
stage6_00,0,reference,1,search,6,0,,,,6.810296326875687e-07,0
stage6_00,0,approve_block,2,no_review,0,1,,train:313,train:313,1.9641011022031307e-05,0
stage6_00,0,approve_block,2,no_review,1,1,,train:153,train:153,2.203509211540222e-05,0
stage6_00,0,approve_block,2,no_review,2,1,,train:153,train:153,3.717595245689154e-05,0
stage6_00,0,approve_block,2,no_review,3,1,,train:153,train:153,1.2101954780519009e-05,0
stage6_00,0,approve_block,2,no_review,4,1,,train:153,train:153,1.1724070645868778e-05,0
stage6_00,0,approve_block,2,no_review,5,0,,,,1.1555035598576069e-05,0
stage6_00,0,approve_block,2,no_review,6,0,,,,3.5890843719244003e-06,0
stage6_00,0,approve_block,2,fcfs,0,1,train:313,train:313,train:313,2.0684092305600643e-05,0
stage6_00,0,approve_block,2,fcfs,2,1,train:153,train:153,train:153,4.049297422170639e-05,0
stage6_00,0,approve_block,2,fcfs,4,0,,,,4.784902557730675e-06,0
stage6_00,0,approve_block,2,fcfs,5,0,,,,7.670605555176735e-07,0
stage6_00,0,approve_block,2,fcfs,6,0,,,,6.820773705840111e-07,0
stage6_00,0,approve_block,2,edf,0,1,train:313,train:313,train:313,2.611300442367792e-05,0
stage6_00,0,approve_block,2,edf,2,1,train:153,train:153,train:153,3.649410791695118e-05,0
stage6_00,0,approve_block,2,edf,4,0,,,,2.8189970180392265e-06,0
stage6_00,0,approve_block,2,edf,5,0,,,,7.660128176212311e-07,0
stage6_00,0,approve_block,2,edf,6,0,,,,7.170019671320915e-07,0
stage6_00,0,approve_block,2,uncertainty,0,1,train:313,train:313,train:313,3.6670942790806293e-05,0
stage6_00,0,approve_block,2,uncertainty,2,1,train:153,train:153,train:153,3.722298424690962e-05,0
stage6_00,0,approve_block,2,uncertainty,4,0,,,,3.3049145713448524e-06,0
stage6_00,0,approve_block,2,uncertainty,5,0,,,,7.859198376536369e-07,0
stage6_00,0,approve_block,2,uncertainty,6,0,,,,7.039634510874748e-07,0
stage6_00,0,approve_block,2,greedy,0,1,train:313,train:313,train:313,2.264999784529209e-05,0
stage6_00,0,approve_block,2,greedy,2,1,train:153,train:153,train:153,3.736105281859636e-05,0
stage6_00,0,approve_block,2,greedy,4,0,,,,4.250090569257736e-06,0
stage6_00,0,approve_block,2,greedy,5,0,,,,7.749767974019051e-07,0
stage6_00,0,approve_block,2,greedy,6,0,,,,7.059425115585327e-07,0
stage6_00,0,approve_block,2,search,0,1,train:313,train:313,train:313,2.5731977075338364e-05,2
stage6_00,0,approve_block,2,search,2,1,train:153,train:153,train:153,2.5989022105932236e-05,2
stage6_00,0,approve_block,2,search,4,0,,,,2.169981598854065e-06,0
stage6_00,0,approve_block,2,search,5,0,,,,7.139751687645912e-07,0
stage6_00,0,approve_block,2,search,6,0,,,,7.329508662223816e-07,0
stage6_00,0,approve_block,1,no_review,0,1,,train:313,train:313,2.016499638557434e-05,0
stage6_00,0,approve_block,1,no_review,1,2,,train:153,train:313,2.2490043193101883e-05,0
stage6_00,0,approve_block,1,no_review,2,1,,train:153,train:153,2.0602019503712654e-05,0
stage6_00,0,approve_block,1,no_review,3,1,,train:153,train:153,1.1886004358530045e-05,0
stage6_00,0,approve_block,1,no_review,4,1,,train:153,train:153,1.1574942618608475e-05,0
stage6_00,0,approve_block,1,no_review,5,1,,train:153,train:153,1.199403777718544e-05,0
stage6_00,0,approve_block,1,no_review,6,0,,,,2.0640436559915543e-06,0
stage6_00,0,approve_block,1,fcfs,0,1,train:313,train:313,train:313,2.0705978386104107e-05,0
stage6_00,0,approve_block,1,fcfs,1,1,train:153,train:153,train:153,1.8266960978507996e-05,0
stage6_00,0,approve_block,1,fcfs,2,0,,,,5.3889816626906395e-06,0
stage6_00,0,approve_block,1,fcfs,3,0,,,,8.009374141693115e-07,0
stage6_00,0,approve_block,1,fcfs,4,0,,,,7.021008059382439e-07,0
stage6_00,0,approve_block,1,fcfs,5,0,,,,7.030321285128593e-07,0
stage6_00,0,approve_block,1,fcfs,6,0,,,,6.819609552621841e-07,0
stage6_00,0,approve_block,1,edf,0,1,train:313,train:313,train:313,2.2866996005177498e-05,0
stage6_00,0,approve_block,1,edf,1,1,train:153,train:153,train:153,2.5294022634625435e-05,0
stage6_00,0,approve_block,1,edf,2,0,,,,3.6010751500725746e-06,0
stage6_00,0,approve_block,1,edf,3,0,,,,8.0897007137537e-07,0
stage6_00,0,approve_block,1,edf,4,0,,,,7.060589268803596e-07,0
