bundle_id,replicate,case_id,step,tool,mutation_attempt,check,reason
evaluation_00,0,train:089,2,cancel_pending_order,True,adapter_policy_guard,Error: automatic safeguard: retrieve customer profile/payment methods first
evaluation_00,0,train:089,4,cancel_pending_order,True,adapter_policy_guard,Error: automatic safeguard: obtain explicit confirmation of these exact transaction arguments first
evaluation_00,0,train:062,4,modify_pending_order_items,True,adapter_policy_guard,Error: automatic safeguard: retrieve customer profile/payment methods first
evaluation_00,0,train:062,6,request_confirmation,False,adapter_policy_guard,Error: automatic safeguard: list the complete transaction and confirm all items
evaluation_00,0,train:018,0,exchange_delivered_order_items,True,adapter_policy_guard,Error: automatic safeguard: authenticate the customer first
evaluation_00,0,train:018,4,request_confirmation,False,adapter_policy_guard,Error: automatic safeguard: retrieve customer profile/payment methods first
evaluation_00,1,train:089,2,request_confirmation,False,adapter_policy_guard,Error: automatic safeguard: retrieve customer profile/payment methods first
evaluation_00,1,train:089,4,cancel_pending_order,True,adapter_policy_guard,Error: automatic safeguard: obtain explicit confirmation of these exact transaction arguments first
evaluation_00,1,train:062,4,modify_pending_order_items,True,adapter_policy_guard,Error: automatic safeguard: retrieve customer profile/payment methods first
evaluation_00,1,train:018,3,request_confirmation,False,adapter_policy_guard,Error: automatic safeguard: retrieve customer profile/payment methods first
evaluation_00,1,train:018,5,request_confirmation,False,adapter_policy_guard,Error: automatic safeguard: list the complete transaction and confirm all items
evaluation_00,2,train:089,2,request_confirmation,False,adapter_policy_guard,Error: automatic safeguard: retrieve customer profile/payment methods first
evaluation_00,2,train:062,0,modify_pending_order_items,True,adapter_policy_guard,Error: automatic safeguard: authenticate the customer first
evaluation_00,2,train:062,6,request_confirmation,False,adapter_policy_guard,Error: automatic safeguard: list the complete transaction and confirm all items
evaluation_00,2,train:062,7,request_confirmation,False,adapter_policy_guard,Error: automatic safeguard: list the complete transaction and confirm all items
evaluation_00,2,train:062,8,request_confirmation,False,adapter_policy_guard,Error: automatic safeguard: list the complete transaction and confirm all items
evaluation_00,2,train:062,9,request_confirmation,False,adapter_policy_guard,Error: automatic safeguard: list the complete transaction and confirm all items
