context,source_index,method,answers,initial_em,em,f1,scale,joint,whole_context,unfinished,inspections,local_gain,helpful_events,harmful_events,accepted,rejected,sibling_fixed,sibling_harmed,calls,tokens,seconds,attempts,extraction_calls,extraction_attempts,extraction_tokens,extraction_seconds,accuracy
e78f8b29-6085-43de-b32f-be1a68641be3,0,individual,6,1.0,2.0,2.0,2,2,0,0,2,1.0,0,0,0,0,0,0,0,0,0,0,6,6,3548,8.630349758197553,0.3333333333333333
e78f8b29-6085-43de-b32f-be1a68641be3,0,execute,6,1.0,2.0,2.0,2,2,0,0,2,1.0,0,0,0,4,0,0,0,0,0,0,6,6,3548,8.630349758197553,0.3333333333333333
e78f8b29-6085-43de-b32f-be1a68641be3,0,reattempt,6,1.0,2.0,2.0,2,2,0,0,2,1.0,0,0,9,0,0,0,9,5148,12.262807160848752,9,6,6,3548,8.630349758197553,0.3333333333333333
e78f8b29-6085-43de-b32f-be1a68641be3,0,verify,6,1.0,2.0,2.0,2,2,0,0,2,1.0,0,0,0,4,0,0,4,2372,6.120838317088783,4,6,6,3548,8.630349758197553,0.3333333333333333
e78f8b29-6085-43de-b32f-be1a68641be3,0,coarse,6,1.0,4.0,4.0,4,4,0,0,2,1.0,2,0,9,0,2,0,9,5515,9.428450012230314,9,6,6,3548,8.630349758197553,0.6666666666666666
e78f8b29-6085-43de-b32f-be1a68641be3,0,patch,6,1.0,2.0,2.0,2,2,0,0,2,1.0,0,0,0,9,0,0,2,1238,3.485722588025965,2,6,6,3548,8.630349758197553,0.3333333333333333
e78f8b29-6085-43de-b32f-be1a68641be3,0,no_applicability,6,1.0,2.0,2.0,2,2,0,0,2,1.0,0,0,0,9,0,0,2,1238,3.485722588025965,2,6,6,3548,8.630349758197553,0.3333333333333333
98c16699-d385-4631-91de-1bc3c87f9f99,1,individual,6,2.0,4.0,4.0,6,4,0,0,2,2.0,0,0,0,0,0,0,0,0,0,0,6,6,7513,6.858441654941998,0.6666666666666666
98c16699-d385-4631-91de-1bc3c87f9f99,1,execute,6,2.0,4.0,4.0,6,4,0,0,2,2.0,0,0,0,4,0,0,0,0,0,0,6,6,7513,6.858441654941998,0.6666666666666666
98c16699-d385-4631-91de-1bc3c87f9f99,1,reattempt,6,2.0,4.0,4.0,6,4,0,0,2,2.0,0,0,9,0,0,0,9,11251,10.806842912803404,9,6,6,7513,6.858441654941998,0.6666666666666666
98c16699-d385-4631-91de-1bc3c87f9f99,1,verify,6,2.0,4.0,4.0,6,4,0,0,2,2.0,0,0,0,4,0,0,4,5188,7.763054934912361,4,6,6,7513,6.858441654941998,0.6666666666666666
