id,replicate,raw_records,accepted,rejected,required
MUL0099.json,0,6,2,1,3
MUL0099.json,1,6,2,1,3
MUL0810.json,0,3,0,2,3
MUL0810.json,1,4,0,3,3
MUL0814.json,0,6,4,0,5
MUL0814.json,1,6,2,0,5
MUL0821.json,0,4,2,2,4
MUL0821.json,1,4,3,1,4
MUL0822.json,0,3,1,2,4
MUL0822.json,1,3,1,2,4
MUL0838.json,0,2,2,0,5
MUL0838.json,1,2,1,1,5
MUL0841.json,0,4,2,1,4
MUL0841.json,1,4,3,1,4
MUL0842.json,0,4,0,4,4
MUL0842.json,1,4,0,4,4
MUL0845.json,0,7,3,0,4
MUL0845.json,1,5,3,0,4
MUL0869.json,0,3,2,0,4
MUL0869.json,1,3,2,0,4
MUL0881.json,0,4,2,2,5
MUL0881.json,1,6,1,3,5
MUL0890.json,0,4,3,1,5
MUL0890.json,1,4,3,1,5
MUL0896.json,0,4,4,0,4
MUL0896.json,1,7,4,0,4
MUL0912.json,0,8,0,7,4
MUL0912.json,1,4,0,3,4
MUL0937.json,0,3,2,1,3
MUL0937.json,1,3,2,1,3
MUL0939.json,0,3,2,0,3
MUL0939.json,1,3,2,0,3
MUL0941.json,0,6,1,2,5
MUL0941.json,1,4,1,2,5
MUL0947.json,0,4,3,1,5
MUL0947.json,1,4,3,1,5
MUL0978.json,0,4,2,0,3
MUL0978.json,1,4,2,0,3
MUL0992.json,0,4,0,4,4
MUL0992.json,1,4,0,4,4
MUL1008.json,0,5,1,1,3
MUL1008.json,1,6,1,2,3
MUL1015.json,0,5,3,1,5
MUL1015.json,1,5,3,1,5
MUL1045.json,0,4,1,2,4
MUL1045.json,1,3,0,2,4
MUL1055.json,0,4,2,2,5
MUL1055.json,1,4,2,2,5
MUL1060.json,0,6,2,0,3
MUL1060.json,1,7,3,0,3
MUL1071.json,0,3,1,0,3
MUL1071.json,1,3,1,0,3
MUL1076.json,0,4,0,2,4
MUL1076.json,1,4,2,1,4
MUL1088.json,0,9,2,5,5
MUL1088.json,1,9,2,5,5
MUL1117.json,0,4,0,3,3
MUL1117.json,1,4,0,3,3
MUL1137.json,0,2,1,0,4
MUL1137.json,1,3,0,2,4
MUL1139.json,0,5,1,2,3
MUL1139.json,1,4,2,0,3
MUL1159.json,0,5,1,2,4
MUL1159.json,1,6,1,2,4
MUL1392.json,0,10,1,2,5
MUL1392.json,1,10,1,2,5
MUL2316.json,0,3,1,2,4
MUL2316.json,1,3,1,2,4
MUL2317.json,0,3,0,2,3
MUL2317.json,1,4,0,1,3
MUL2320.json,0,3,2,0,3
MUL2320.json,1,3,2,0,3
MUL2347.json,0,4,2,2,5
MUL2347.json,1,5,3,2,5
MUL2358.json,0,4,2,1,3
MUL2358.json,1,3,2,1,3
MUL2359.json,0,6,0,3,4
MUL2359.json,1,5,0,3,4
MUL2365.json,0,2,2,0,4
MUL2365.json,1,2,2,0,4
MUL2378.json,0,4,2,1,3
MUL2378.json,1,3,2,1,3
MUL2423.json,0,5,0,2,5
MUL2423.json,1,5,0,2,5
MUL2427.json,0,3,1,0,5
MUL2427.json,1,4,2,1,5
MUL2432.json,0,6,1,2,5
MUL2432.json,1,4,1,3,5
MUL2439.json,0,4,3,0,4
MUL2439.json,1,4,3,0,4
MUL2442.json,0,5,2,1,4
MUL2442.json,1,5,2,1,4
MUL2457.json,0,5,0,3,4
MUL2457.json,1,5,0,3,4
MUL2466.json,0,5,2,1,3
MUL2466.json,1,5,2,1,3
