revision,context,question,answer_type,old_exec,new_exec,supported,reason
v1,e78f8b29-6085-43de-b32f-be1a68641be3,0384152d-1f9f-4b12-85a9-2ca5e1c97682,span,False,False,False,missing_donor_representation
v1,e78f8b29-6085-43de-b32f-be1a68641be3,9c569bea-e036-4c27-8e41-82c6efab1d31,multi-span,False,False,False,missing_donor_representation
v1,98c16699-d385-4631-91de-1bc3c87f9f99,f46b8d2a-06aa-4e51-a05d-f3beb255f73c,span,False,False,False,corrected_donor_contract;execution:unsupported reference
v1,98c16699-d385-4631-91de-1bc3c87f9f99,aa051557-3b4c-497f-b14e-2c8b8b2c99ef,arithmetic,True,True,False,corrected_donor_contract;dimensionless_unit;metric_support
v1,991d23d7-f32d-4954-8e1d-87ad22470fcf,1c78b8ad-5dd7-471e-bafd-71e1515afaa3,arithmetic,False,False,False,corrected_donor_contract;execution:list index out of range
v1,991d23d7-f32d-4954-8e1d-87ad22470fcf,2965da5c-4d2a-402c-85c6-c1514f998285,count,False,False,False,missing_donor_representation
v1,806ac467-ab50-428b-8584-baef6d6c4cee,05236c86-d05a-40d9-b15f-8eb197e2e158,span,True,False,False,missing_donor_representation
v1,806ac467-ab50-428b-8584-baef6d6c4cee,292786c8-d057-44e9-b6f8-e22e2390c4a7,arithmetic,True,False,False,missing_donor_representation
v1,67111519-017b-4638-9a74-41eb792c2f0f,d6a3a306-fb34-48dc-838e-3d109f60d685,span,False,False,False,corrected_donor_contract;execution:nonnumeric cell
v1,67111519-017b-4638-9a74-41eb792c2f0f,60b4a92c-0acc-42b0-bbce-f66df867e4ca,arithmetic,True,True,False,corrected_donor_contract;metric_support;period_binding;unsupported_period
v1,635228dd-44ae-4ad2-817d-2079a9ceb320,77191f82-0a18-4050-8911-bff9f1a401d9,arithmetic,True,True,False,corrected_donor_contract;dimensionless_unit;metric_support
v1,635228dd-44ae-4ad2-817d-2079a9ceb320,34c51b4d-4240-4767-b57c-363250b74a64,count,False,False,False,corrected_donor_contract;execution:unsupported reference
v1,dd47151a-e645-492f-af54-08e3e5b4254d,dc7bfc5a-cd41-4f16-be0d-7ca2d2b89eac,arithmetic,False,False,False,corrected_donor_contract;execution:nonnumeric cell
v1,dd47151a-e645-492f-af54-08e3e5b4254d,37a02df3-f6f6-4981-8d60-71a587c6db9f,arithmetic,True,True,False,corrected_donor_contract;metric_support;period_binding;unsupported_period
v1,eaf92f5c-0a32-4cad-9919-067ae4c20978,904679f4-77f5-4575-975a-2b7b18eedbcf,arithmetic,True,True,False,corrected_donor_contract;dimensionless_unit;metric_support;percentage_scale;period_binding;unsupported_period
v1,eaf92f5c-0a32-4cad-9919-067ae4c20978,3e1a88fd-b2f4-40dd-a7f1-baef93720d4a,arithmetic,True,True,False,corrected_donor_contract;dimensionless_unit;metric_support;percentage_scale;unsupported_period
v1,cd19d6bc-f08e-452d-b682-4af9082ec82c,edfade0f-df94-4bdb-85b2-0b9862dae1ee,arithmetic,False,False,False,missing_donor_representation
v1,cd19d6bc-f08e-452d-b682-4af9082ec82c,c502823a-fa1d-49e3-b14e-6973d72afc2f,arithmetic,True,True,False,corrected_donor_contract;metric_support;period_binding;unsupported_period
v1,5f46a008-12b7-4c0d-b9e5-4b8e31cb0ba8,a9d259dd-ecc0-4c47-aa63-eec04e443241,span,False,False,False,missing_donor_representation
v1,5f46a008-12b7-4c0d-b9e5-4b8e31cb0ba8,af742fab-b68a-43ac-bb2b-77ef9f2fdbdf,arithmetic,True,True,False,corrected_donor_contract;metric_support;period_binding;unsupported_period
v1,9ff39953-d7ca-40e1-9824-a14c05ee91e8,935ce542-a630-4917-a5dd-fe4647b219a2,arithmetic,False,False,False,corrected_donor_contract;execution:list index out of range
v1,9ff39953-d7ca-40e1-9824-a14c05ee91e8,4512f332-f703-4af4-ac40-594f459f6d8d,arithmetic,True,True,False,corrected_donor_contract;metric_support
v1,77d32d68-40b6-4c76-8151-58b6e99bae9a,ae97568d-fcde-469c-a9a9-118d339cccb5,arithmetic,True,True,False,corrected_donor_contract;dimensionless_unit;metric_support;percentage_scale
v1,77d32d68-40b6-4c76-8151-58b6e99bae9a,35096122-545b-4be2-8ea2-ebafd94c687f,arithmetic,True,True,False,corrected_donor_contract;metric_support;operation_contract
v2,e78f8b29-6085-43de-b32f-be1a68641be3,0384152d-1f9f-4b12-85a9-2ca5e1c97682,span,False,False,False,missing_donor_representation
v2,e78f8b29-6085-43de-b32f-be1a68641be3,9c569bea-e036-4c27-8e41-82c6efab1d31,multi-span,False,False,False,missing_donor_representation
v2,98c16699-d385-4631-91de-1bc3c87f9f99,f46b8d2a-06aa-4e51-a05d-f3beb255f73c,span,False,False,False,missing_donor_representation
v2,98c16699-d385-4631-91de-1bc3c87f9f99,aa051557-3b4c-497f-b14e-2c8b8b2c99ef,arithmetic,False,False,False,missing_donor_representation
v2,991d23d7-f32d-4954-8e1d-87ad22470fcf,1c78b8ad-5dd7-471e-bafd-71e1515afaa3,arithmetic,False,False,False,missing_donor_representation
v2,991d23d7-f32d-4954-8e1d-87ad22470fcf,2965da5c-4d2a-402c-85c6-c1514f998285,count,False,False,False,missing_donor_representation
v2,806ac467-ab50-428b-8584-baef6d6c4cee,05236c86-d05a-40d9-b15f-8eb197e2e158,span,False,False,False,missing_donor_representation
v2,806ac467-ab50-428b-8584-baef6d6c4cee,292786c8-d057-44e9-b6f8-e22e2390c4a7,arithmetic,False,False,False,missing_donor_representation
v2,67111519-017b-4638-9a74-41eb792c2f0f,d6a3a306-fb34-48dc-838e-3d109f60d685,span,False,False,False,missing_donor_representation
v2,67111519-017b-4638-9a74-41eb792c2f0f,60b4a92c-0acc-42b0-bbce-f66df867e4ca,arithmetic,False,False,False,missing_donor_representation
v2,635228dd-44ae-4ad2-817d-2079a9ceb320,77191f82-0a18-4050-8911-bff9f1a401d9,arithmetic,True,True,False,corrected_donor_contract;percentage_expression
v2,635228dd-44ae-4ad2-817d-2079a9ceb320,34c51b4d-4240-4767-b57c-363250b74a64,count,False,False,False,missing_donor_representation
v2,dd47151a-e645-492f-af54-08e3e5b4254d,dc7bfc5a-cd41-4f16-be0d-7ca2d2b89eac,arithmetic,True,True,False,corrected_donor_contract;percentage_expression
v2,dd47151a-e645-492f-af54-08e3e5b4254d,37a02df3-f6f6-4981-8d60-71a587c6db9f,arithmetic,False,False,False,missing_donor_representation
v2,eaf92f5c-0a32-4cad-9919-067ae4c20978,904679f4-77f5-4575-975a-2b7b18eedbcf,arithmetic,True,False,False,missing_donor_representation
v2,eaf92f5c-0a32-4cad-9919-067ae4c20978,3e1a88fd-b2f4-40dd-a7f1-baef93720d4a,arithmetic,False,False,False,missing_donor_representation
v2,cd19d6bc-f08e-452d-b682-4af9082ec82c,edfade0f-df94-4bdb-85b2-0b9862dae1ee,arithmetic,True,True,False,corrected_donor_contract;period_binding
v2,cd19d6bc-f08e-452d-b682-4af9082ec82c,c502823a-fa1d-49e3-b14e-6973d72afc2f,arithmetic,True,True,False,corrected_donor_contract;period_binding
v2,5f46a008-12b7-4c0d-b9e5-4b8e31cb0ba8,a9d259dd-ecc0-4c47-aa63-eec04e443241,span,False,False,False,missing_donor_representation
v2,5f46a008-12b7-4c0d-b9e5-4b8e31cb0ba8,af742fab-b68a-43ac-bb2b-77ef9f2fdbdf,arithmetic,True,False,False,corrected_donor_contract;execution:nonnumeric cell
v2,9ff39953-d7ca-40e1-9824-a14c05ee91e8,935ce542-a630-4917-a5dd-fe4647b219a2,arithmetic,False,False,False,missing_donor_representation
v2,9ff39953-d7ca-40e1-9824-a14c05ee91e8,4512f332-f703-4af4-ac40-594f459f6d8d,arithmetic,False,False,False,missing_donor_representation
v2,77d32d68-40b6-4c76-8151-58b6e99bae9a,ae97568d-fcde-469c-a9a9-118d339cccb5,arithmetic,False,False,False,missing_donor_representation
v2,77d32d68-40b6-4c76-8151-58b6e99bae9a,35096122-545b-4be2-8ea2-ebafd94c687f,arithmetic,False,False,False,missing_donor_representation
